Identificador;Endpoint;Método;Categoria VADER;Categoria POISED;Título;Descrição;Ação;Dados;Resultado Esperado;origem_ids;Arquivo de teste;Situação
BAPI-01;/banks/v1;GET;V - Verbo HTTP;O - Output;GET documentado retorna a lista de bancos;Verificar o comportamento do único verbo documentado para o endpoint.;Executar GET no endpoint sem parâmetros.;Nenhum;200 com array não vazio de objetos Bank.;VADER-001;test/banks.test.js;Verde
BAPI-02;/banks/v1;POST (não documentado);V - Verbo HTTP;E - Error;Verbo POST não documentado;O handler registra apenas GET. Verbos não registrados caem no onNoMatch do next-connect.;Executar POST no endpoint.;Corpo vazio;404 com type not_found. Lacuna: 405 não implementado nem documentado.;VADER-002;test/banks.test.js;Verde
BAPI-03;/banks/v1;GET;A - Autenticação e Autorização;S - Security;Acesso sem qualquer credencial;A spec traz components.securitySchemes vazio e security global vazio, indicando endpoint público.;Executar GET sem header Authorization.;Nenhum;200. Risco registrado: ausência total de esquema de segurança documentado.;VADER-003;test/banks.test.js;Verde
BAPI-04;/banks/v1;GET;A - Autenticação e Autorização;S - Security;Envio de Authorization não previsto;Verificar se um header de autenticação não documentado altera o comportamento.;Executar GET enviando header Authorization.;Authorization: Bearer token-invalido;200, header ignorado.;VADER-004;test/banks.test.js;Verde
BAPI-05;/banks/v1;GET;D - Dados;P - Parameter;Query string não documentada;O endpoint não declara nenhum parâmetro. Avaliar se parâmetros extras são ignorados.;Executar GET com query string arbitrária e comparar com a chamada limpa.;?code=001&debug=true;200 com a lista completa e mesmo tamanho da chamada sem query.;VADER-005;test/banks.test.js;Verde
BAPI-06;/banks/v1;GET;E - Erros e Exceções;E - Error;Path inexistente sob o mesmo recurso;Rota não mapeada não chega ao handler da API e cai na página 404 do Next.js.;Executar GET em /banks/v1/extra/inexistente.;Segmento de path adicional;404. Lacuna: resposta em HTML, não em JSON, diferente do restante da API.;VADER-006;test/banks.test.js;Verde
BAPI-07;/banks/v1;GET;R - Respostas;O - Output;Contrato do schema Bank em todos os itens;O schema Bank define ispb, name, code e fullName como obrigatórios.;Executar GET e validar cada item do array com Ajv.;Resposta completa;Todos os itens aderentes ao schema Bank. DEFEITO CONFIRMADO: a lista traz itens com code nulo, violando o próprio contrato publicado.;VADER-007;test/banks.test.js;Vermelho: defeito confirmado da API
BAPI-08;/banks/v1;GET;R - Respostas;O - Output;Content-Type e headers de cache;A documentação declara uso de CDN com cache, o que pode mascarar falhas.;Executar GET e inspecionar os headers de resposta.;Nenhum;Content-Type application/json e Cache-Control presente. Lacuna: headers não documentados.;VADER-008;test/banks.test.js;Verde
BAPI-09;/banks/v1/{code};GET;V - Verbo HTTP;P - Parameter;GET documentado com código válido;Validar a consulta unitária pelo código do banco.;Executar GET informando um código obtido em /banks/v1.;code = 1;200 com um único objeto Bank correspondente ao código.;VADER-009;test/banks.test.js;Verde
BAPI-10;/banks/v1/{code};DELETE (não documentado);V - Verbo HTTP;E - Error;Verbo DELETE não documentado;Avaliar a reação a um verbo destrutivo em recurso somente leitura.;Executar DELETE no endpoint com código válido.;code = 1;404 com type not_found. Lacuna: 405 não implementado nem documentado.;VADER-010;test/banks.test.js;Verde
BAPI-11;/banks/v1/{code};GET;A - Autenticação e Autorização;S - Security;Consulta unitária sem credencial;Confirmar que a consulta individual também é pública, como o restante da API.;Executar GET sem header Authorization.;code = 1;200. Risco registrado: nenhum controle de acesso ou rate limit documentado.;VADER-011;test/banks.test.js;Verde
BAPI-12;/banks/v1/{code};GET;D - Dados;P - Parameter;Código com tipo divergente do declarado;O parâmetro code é declarado como integer, mas a implementação apenas aplica Number() e busca na lista.;Executar GET informando valor não numérico.;code = abc;404, sem validação de tipo. Lacuna: 400 não documentado nem implementado.;VADER-012;test/banks.test.js;Verde
BAPI-13;/banks/v1/{code};GET;D - Dados;P - Parameter;Valores de borda para o código;Ausência de limites documentados exige exploração das bordas.;Executar GET para cada valor de borda e comparar os status entre si.;"code = 0; code = -1; code = 999999999";Nenhuma borda gera erro interno. Observado: code 0 devolve 200 porque existe banco com esse código na base, enquanto -1 e 999999999 devolvem 404. Lacuna: limites não documentados.;VADER-013;test/banks.test.js;Verde
BAPI-14;/banks/v1/{code};GET;E - Erros e Exceções;E - Error;Código de banco inexistente;Cenário de recurso não encontrado, explicitamente documentado.;Executar GET com código válido em formato porém inexistente.;code = 999999;404 com type BANK_CODE_NOT_FOUND.;VADER-014;test/banks.test.js;Verde
BAPI-15;/banks/v1/{code};GET;E - Erros e Exceções;S - Security;Caracteres especiais e payloads de injeção no path;Verificar tratamento de entrada potencialmente perigosa no parâmetro de path.;Executar GET com cada payload codificado na URL e inspecionar corpo e texto bruto.;"1' OR '1'='1; ../../etc/passwd; <script>alert(1)</script>; %00";Status abaixo de 500 e nenhum vazamento de stack, caminho interno ou host de dependência.;VADER-015;test/banks.test.js;Verde
BAPI-16;/banks/v1/{code};GET;R - Respostas;O - Output;Divergência entre exemplo e schema do 404;O schema ErrorMessage exige message, name e type, mas o exemplo do 404 na spec traz apenas message e type.;Executar GET com código inexistente e validar o corpo contra o schema.;code = 999999;Corpo aderente a ErrorMessage. Defeito confirmado no exemplo da spec, não na implementação.;VADER-016;test/banks.test.js;Verde
BAPI-17;/banks/v1;GET;Não coberto por VADER;I - Interoperability;Política de CORS aberta a qualquer origem;A API configura cors com origin '*', o que não consta na documentação.;Executar GET enviando header Origin e inspecionar Access-Control-Allow-Origin.;Origin: https://exemplo-consumidor.com.br;Header Access-Control-Allow-Origin igual a *. Lacuna: política de CORS não documentada.;novo (POISED-I);test/banks.test.js;Verde
BAPI-18;/banks/v1;OPTIONS;Não coberto por VADER;I - Interoperability;Preflight OPTIONS respondido sem credencial;O middleware de CORS encerra o preflight com optionsSuccessStatus 204, verbo ausente da spec.;Executar OPTIONS com Origin e Access-Control-Request-Method.;Access-Control-Request-Method: GET;200 ou 204 com Access-Control-Allow-Methods. Lacuna: verbo OPTIONS não documentado.;novo (POISED-I);test/banks.test.js;Verde
BAPI-19;/banks/v1;HEAD;Não coberto por VADER;I - Interoperability;Suporte a HEAD para inspeção de headers;Clientes de integração usam HEAD para checar disponibilidade e cache sem baixar o corpo.;Executar HEAD e comparar status e Content-Type com o GET equivalente.;Nenhum;Mesmo status e mesmo Content-Type do GET, sem corpo na resposta.;novo (POISED-I);test/banks.test.js;Verde
BAPI-20;/banks/v1;GET;Não coberto por VADER;I - Interoperability;Negociação de conteúdo ignorada;A API não implementa content negotiation e responde JSON independente do header Accept.;Executar GET com Accept application/xml.;Accept: application/xml;200 com Content-Type application/json. Lacuna: 406 não implementado nem documentado.;novo (POISED-I);test/banks.test.js;Verde
BAPI-21;/banks/v1;GET;Não coberto por VADER;D - Data;Qualidade da lista de bancos;A lista é montada a partir de um CSV do BCB, com risco de duplicidade e de ISPB fora do padrão.;Executar GET e verificar duplicidade de code e formato de ispb.;Resposta completa;Nenhum code duplicado e todos os ispb com oito dígitos. DEFEITO CONFIRMADO: há itens com code nulo e code 0 repetido, o que impede usar o campo como chave.;novo (POISED-D);test/banks.test.js;Vermelho: defeito confirmado da API
BAPI-22;/banks/v1/{code};GET;Não coberto por VADER;O - Output;Coerência entre listagem e consulta unitária;As duas rotas usam a mesma fonte. Divergência indicaria cache ou transformação inconsistente.;Localizar o banco na listagem e comparar com o retorno da consulta unitária.;code = 1;Objetos idênticos nas duas rotas.;novo (POISED-O);test/banks.test.js;Verde
BAPI-23;/banks/v1;GET;Não coberto por VADER;D - Data;Escalabilidade sob chamadas simultâneas;Não há rate limit nem limite de concorrência documentado para uma API pública.;Disparar 10 requisições em paralelo e medir o tempo médio.;10 chamadas simultâneas;Todas com 200 e tempo médio abaixo do limite acordado. Lacuna: nenhum rate limit documentado.;novo (POISED-D);test/banks.test.js;Verde
BAPI-24;/banks/v1;GET;Não coberto por VADER;D - Data;Política de cache observável pelo consumidor;O código-fonte envia s-maxage de 86400s, mas essa diretiva é dirigida ao cache compartilhado: a CDN a consome e a remove antes de a resposta chegar ao cliente.;Executar GET e inspecionar Cache-Control, Age e x-vercel-cache.;Nenhum;Cache-Control presente na resposta. Lacuna: a janela de cache não é observável de fora nem documentada.;novo (POISED-D);test/banks.test.js;Verde
BAPI-25;/cep/v1/{cep};GET;V - Verbo HTTP;P - Parameter;GET documentado com CEP válido;Validar a busca de CEP com fallback entre providers.;Executar GET com CEP existente.;cep = 01310930;200 com objeto Address preenchido e campo cep igual ao consultado.;VADER-017;test/cep.test.js;Verde
BAPI-26;/cep/v1/{cep};PUT (não documentado);V - Verbo HTTP;E - Error;Verbo PUT não documentado;Avaliar reação a verbo de atualização em endpoint de consulta.;Executar PUT no endpoint.;cep = 01310930, corpo vazio;404 com type not_found. Lacuna: 405 não implementado nem documentado.;VADER-018;test/cep.test.js;Verde
BAPI-27;/cep/v1/{cep};GET;A - Autenticação e Autorização;S - Security;Consulta pública de dado de endereço;Endpoint público que expõe dado de localização sem qualquer controle.;Executar GET sem credencial.;cep = 01310930;200. Risco registrado: ausência de rate limit documentado para consulta em massa.;VADER-019;test/cep.test.js;Verde
BAPI-28;/cep/v1/{cep};GET;D - Dados;P - Parameter;CEP com zero à esquerda;O parâmetro é declarado como integer int64, tipo que não preservaria o zero à esquerda.;Executar GET com CEP iniciado em zero.;cep = 01001000;200 com o CEP correto. Lacuna: tipo declarado incompatível com o tratamento real, que é de string.;VADER-020;test/cep.test.js;Verde
BAPI-29;/cep/v1/{cep};GET;D - Dados;P - Parameter;CEP formatado com hífen na v1;A implementação remove caracteres não numéricos antes de consultar, apesar do tipo integer declarado.;Executar GET com CEP formatado.;cep = 01001-000;200 com cep normalizado em oito dígitos. Lacuna: formatação aceita porém não documentada na v1.;VADER-021;test/cep.test.js;Verde
BAPI-30;/cep/v1/{cep};GET;E - Erros e Exceções;E - Error;CEP inexistente em todos os providers;Cenário documentado de falha de todos os provedores de consulta.;Descobrir em tempo de execução um CEP que ainda devolva 404 e consultá-lo.;candidatosInexistentes da massa;404 com schema CepError, type service_error e array errors preenchido. Lacuna: itens de errors podem vir sem o campo name exigido pelo schema Error. O valor 99999999 usado na primeira rodada passou a ser reconhecido por um provedor.;VADER-022;test/cep.test.js;Verde
BAPI-31;/cep/v1/{cep};GET;E - Erros e Exceções;P - Parameter;CEP com quantidade incorreta de dígitos;A v1 não declara pattern nem tamanho, diferente da v2, mas a implementação valida oito dígitos.;Executar GET com CEP curto e com CEP longo.;"cep = 1234567; cep = 123456789012";400 com type validation_error nos dois casos. Lacuna: 400 não documentado na v1.;VADER-023;test/cep.test.js;Verde
BAPI-32;/cep/v1/{cep};GET;R - Respostas;O - Output;Contrato do schema Address;Address exige cep, state, city, neighborhood, street e service.;Executar GET com CEP válido e validar o corpo com Ajv.;cep = 01310930;Corpo aderente ao schema Address, com service indicando o provider utilizado.;VADER-024;test/cep.test.js;Verde
BAPI-33;/cep/v2/{cep};GET;V - Verbo HTTP;P - Parameter;GET documentado com geolocalização;Validar a versão 2, que agrega latitude e longitude ao endereço.;Executar GET com CEP existente.;cep = 01310930;200 com objeto AddressV2 contendo location.;VADER-025;test/cep.test.js;Verde
BAPI-34;/cep/v2/{cep};POST (não documentado);V - Verbo HTTP;E - Error;Verbo POST não documentado na v2;Avaliar reação a verbo de escrita na v2.;Executar POST no endpoint.;cep = 01310930, corpo vazio;404 com type not_found. Lacuna: 405 não implementado nem documentado.;VADER-026;test/cep.test.js;Verde
BAPI-35;/cep/v2/{cep};GET;A - Autenticação e Autorização;S - Security;Exposição pública de geolocalização;A v2 devolve coordenadas geográficas sem qualquer autenticação.;Executar GET sem credencial e registrar as coordenadas retornadas.;cep = 01310930;200. Risco registrado: dado de geolocalização exposto sem controle de acesso.;VADER-027;test/cep.test.js;Verde
BAPI-36;/cep/v2/{cep};GET;D - Dados;P - Parameter;Aderência às duas formas do pattern;O pattern aceita oito dígitos ou o formato com hífen.;Executar GET nas duas formas e comparar campo a campo, exceto as coordenadas.;"cep = 01310930; cep = 01310-930";200 nos dois casos, com cep, state, city, neighborhood, street e timezoneName idênticos.;VADER-028;test/cep.test.js;Verde
BAPI-37;/cep/v2/{cep};GET;D - Dados;P - Parameter;Violação do tamanho esperado do CEP;Entradas que não resultam em oito dígitos são barradas na validação.;Executar GET com valores inválidos e validar o corpo do erro.;"cep = 1234567; cep = abcdefgh";400 com type validation_error e corpo aderente a ErrorMessage. Lacuna: name devolvido é CepPromiseError e não BadRequestError, como no exemplo da spec.;VADER-029;test/cep.test.js;Verde
BAPI-38;/cep/v2/{cep};GET;E - Erros e Exceções;E - Error;CEP inexistente em todos os provedores;Cenário documentado de não encontrado após fallback.;Descobrir em tempo de execução um CEP que ainda devolva 404 e consultá-lo na v2.;candidatosInexistentes da massa;404 com ErrorMessage e type service_error.;VADER-030;test/cep.test.js;Verde
BAPI-39;/cep/v2/{cep};GET;E - Erros e Exceções;I - Interoperability;Divergência de resultado entre v1 e v2;As duas versões compartilham o mesmo serviço de busca, então os campos comuns devem coincidir.;Executar GET em /cep/v1 e /cep/v2 para o mesmo CEP e comparar os campos comuns.;cep = 01310930;Campos cep, state, city, neighborhood e street idênticos.;VADER-031;test/cep.test.js;Verde
BAPI-40;/cep/v2/{cep};GET;R - Respostas;O - Output;Contrato de AddressV2 e do objeto location;AddressV2 exige timezoneName e location, Location exige type e coordinates, Coordinates exige latitude e longitude.;Executar GET e validar a estrutura aninhada com Ajv.;cep = 01310930;Corpo aderente aos três schemas encadeados. DEFEITO CONFIRMADO: location.coordinates chega sem longitude nem latitude, embora o schema Coordinates declare os dois como obrigatórios.;VADER-032;test/cep.test.js;Vermelho: defeito confirmado da API
BAPI-41;/cep/v1/{cep} e /cep/v2/{cep};GET;Não coberto por VADER;I - Interoperability;CORS aberto nas duas versões;Verificar se a política de CORS é a mesma nas duas versões do recurso.;Executar GET nas duas versões enviando Origin.;Origin: https://exemplo-consumidor.com.br;Access-Control-Allow-Origin igual a * nas duas versões.;novo (POISED-I);test/cep.test.js;Verde
BAPI-42;/cep/v1/{cep} e /cep/v2/{cep};GET;Não coberto por VADER;I - Interoperability;Compatibilidade de contrato entre v1 e v2;A v2 é construída espalhando o objeto da v1 e acrescentando timezoneName e location, então mantém o campo service e quem migra não perde a rastreabilidade do provider.;Executar GET nas duas versões e comparar o conjunto de campos.;cep = 01310930;"v1 com service e sem location; v2 com service, location e timezoneName. Lacuna: o schema AddressV2 não declara service, ou seja, a v2 devolve um campo a mais do que documenta.";novo (POISED-I);test/cep.test.js;Verde
BAPI-43;/cep/v1/{cep};GET;Não coberto por VADER;S - Security;Payloads de injeção no parâmetro de CEP;Verificar sanitização e ausência de vazamento de informação interna.;Executar GET com cada payload codificado e inspecionar corpo e texto bruto.;"1' OR '1'='1; ../../etc/passwd; <script>alert(1)</script>; %00";Status abaixo de 500 e nenhum vazamento de stack, caminho interno ou host de dependência.;novo (POISED-S);test/cep.test.js;Verde
BAPI-44;/cep/v1/{cep};GET;Não coberto por VADER;E - Error;Clareza da mensagem de erro 400;Uma mensagem de erro útil informa o que houve e como corrigir.;Executar GET com CEP curto e inspecionar message e errors.;cep = 1234567;Mensagem citando o tamanho esperado de 8 e array errors detalhando o serviço que recusou.;novo (POISED-E);test/cep.test.js;Verde
BAPI-45;/cep/v1/{cep};GET;Não coberto por VADER;D - Data;Integridade da acentuação nos campos de texto;"Os providers de CEP devolvem texto acentuado; erro de decodificação apareceria como mojibake.";Executar GET com CEP de logradouro acentuado e procurar marcadores de codificação quebrada.;cep = 40020000;Nenhum caractere de substituição nem sequência de mojibake no corpo.;novo (POISED-D);test/cep.test.js;Verde
BAPI-46;/cep/v2/{cep};GET;Não coberto por VADER;D - Data;Escalabilidade da v2 com dependências externas;A v2 encadeia busca de CEP, geocodificação e timezone, todas externas.;Disparar 10 requisições em paralelo e medir o tempo médio.;10 chamadas simultâneas;Todas com 200 e tempo médio abaixo do limite acordado. Lacuna: nenhum SLA documentado.;novo (POISED-D);test/cep.test.js;Verde
BAPI-47;/cep/v1/{cep};GET;Não coberto por VADER;D - Data;Política de cache observável na consulta de CEP;Mesmo raciocínio do BAPI-24: o s-maxage de 172800s do código-fonte é consumido pela CDN e não chega ao cliente.;Executar GET e inspecionar Cache-Control, Age e x-vercel-cache.;cep = 01310930;Cache-Control presente na resposta. Lacuna: janela de cache não observável nem documentada.;novo (POISED-D);test/cep.test.js;Verde
