Identificador;Categoria VADER;Endpoint;Método;Título;Descrição;Ação;Dados;Resultado Esperado
VADER-001;V - Verbo HTTP;/banks/v1;GET;GET documentado retorna lista de bancos;Verificar o comportamento do único verbo documentado para o endpoint.;Executar GET no endpoint sem parâmetros.;Nenhum;200 com array de objetos Bank.
VADER-002;V - Verbo HTTP;/banks/v1;POST (não documentado);Verbo POST não documentado;Avaliar a reação a um verbo de escrita em endpoint somente leitura.;Executar POST no endpoint.;Corpo vazio;Rejeitar preferencialmente com 405. Lacuna: 405 não documentado na spec.
VADER-003;A - Autenticação e Autorização;/banks/v1;GET;Acesso sem qualquer credencial;A spec traz components.securitySchemes vazio e security global vazio, indicando endpoint público.;Executar GET sem header Authorization.;Nenhum;200. Registrar risco: ausência total de esquema de segurança documentado.
VADER-004;A - Autenticação e Autorização;/banks/v1;GET;Envio de Authorization não previsto;Verificar se um header de autenticação não documentado altera o comportamento.;Executar GET enviando header Authorization.;Authorization: Bearer token-invalido;200, header ignorado. Lacuna: comportamento não documentado.
VADER-005;D - Dados;/banks/v1;GET;Query string não documentada;O endpoint não declara nenhum parâmetro. Avaliar se parâmetros extras são ignorados.;Executar GET com query string arbitrária.;?code=001&debug=true;200 com a lista completa, parâmetros ignorados. Lacuna: comportamento não documentado.
VADER-006;E - Erros e Exceções;/banks/v1;GET;Path inexistente sob o mesmo recurso;Validar a consistência do tratamento de rota não mapeada.;Executar GET em /banks/v1/extra/inexistente.;Segmento de path adicional;404 com corpo de erro estruturado. Lacuna: rota não mapeada não documentada.
VADER-007;R - Respostas;/banks/v1;GET;Contrato do schema Bank em todos os itens;O schema Bank define ispb, name, code e fullName como obrigatórios.;Executar GET e validar cada item do array.;Resposta completa;Todos os itens contêm os quatro campos obrigatórios com os tipos declarados.
VADER-008;R - Respostas;/banks/v1;GET;Content-Type e headers de cache;A documentação declara uso de CDN com cache, o que pode mascarar falhas.;Executar GET e inspecionar os headers de resposta.;Nenhum;Content-Type application/json. Registrar headers de cache observados. Lacuna: headers não documentados.
VADER-009;V - Verbo HTTP;/banks/v1/{code};GET;GET documentado com código válido;Validar a consulta unitária pelo código do banco.;Executar GET informando um código obtido em /banks/v1.;code = 1;200 com um único objeto Bank correspondente ao código.
VADER-010;V - Verbo HTTP;/banks/v1/{code};DELETE (não documentado);Verbo DELETE não documentado;Avaliar a reação a um verbo destrutivo em recurso somente leitura.;Executar DELETE no endpoint com código válido.;code = 1;Rejeitar preferencialmente com 405. Lacuna: 405 não documentado.
